title,year,category,expected_pattern,note
Burning,2018,niche_arthouse,low_exposure_high_persistence,Korean arthouse; acclaimed
A Separation,2011,niche_arthouse,low_exposure_high_persistence,Foreign Oscar winner
Enter the Void,2009,niche_arthouse,low_exposure_high_persistence,Divisive; cult
Spring Breakers,2012,cult_classic,low_exposure_high_persistence,Modest; meme/aesthetic cult
Nightcrawler,2014,low_budget_hit,low_exposure_high_persistence,Low budget; quote/meme footprint
Birdman,2014,low_budget_hit,low_exposure_high_persistence,Modest; Best Picture
Her,2013,low_budget_hit,low_exposure_high_persistence,Modest; durable sci-fi romance
The Grand Budapest Hotel,2014,low_budget_hit,low_exposure_high_persistence,Modest; aesthetic/meme footprint
Eternal Sunshine of the Spotless Mind,2004,low_budget_hit,low_exposure_high_persistence,Modest; modern classic
There Will Be Blood,2007,low_budget_hit,low_exposure_high_persistence,"Modest; meme/quote (""milkshake"")"
No Country for Old Men,2007,low_budget_hit,low_exposure_high_persistence,Modest budget; canonical
Donnie Brasco,1997,low_budget_hit,mixed,Modest; quote footprint
Gattaca,1997,cult_classic,low_exposure_high_persistence,Flop; sci-fi cult
Event Horizon,1997,cult_classic,low_exposure_high_persistence,Flop; horror cult
Dark City,1998,cult_classic,low_exposure_high_persistence,Flop; sci-fi cult
The Fountain,2006,cult_classic,low_exposure_high_persistence,Flop; cult
Sunshine,2007,cult_classic,low_exposure_high_persistence,Underperformed; sci-fi cult
Grindhouse,2007,commercial_flop,mixed,Box office disappointment; cult
MacGruber,2010,cult_classic,low_exposure_high_persistence,Flop; comedy cult
Kung Fury,2015,cult_classic,low_exposure_high_persistence,Crowdfunded short-feature; meme cult
